create_time,sum_open_interest,sum_open_interest_value,ts
2026-08-09 18:15:00,319536294.0,53659729.85142,1786299300000
2026-08-09 18:20:00,320074233.0,55774279.4120286,1786299600000
2026-08-09 18:25:00,319900033.0,55483477.71852165,1786299900000
2026-08-09 18:30:00,320496213.0,55378540.64427,1786300200000
2026-08-09 18:35:00,320121188.0,55368554.42554124,1786300500000
2026-08-09 18:40:00,319388820.0,54921095.412417,1786300800000
2026-08-09 18:45:00,318407564.0,54651980.55298676,1786301100000
2026-08-09 18:50:00,315614849.0,54935920.61694,1786301400000
2026-08-09 18:55:00,316175833.0,55120336.78758852,1786301700000
2026-08-09 19:00:00,315987856.0,58606264.49244144,1786302000000
2026-08-09 19:05:00,312380367.0,62065127.65580049,1786302300000
2026-08-09 19:10:00,312301036.0,62735063.3417836,1786302600000
2026-08-09 19:15:00,313534006.0,65322941.48742424,1786302900000
2026-08-09 19:20:00,314852388.0,65672018.13885192,1786303200000
2026-08-09 19:25:00,316087350.0,66109669.2525,1786303500000
2026-08-09 19:30:00,311391981.0,59303771.36486073,1786303800000
2026-08-09 19:35:00,312015795.0,57968768.68035435,1786304100000
2026-08-09 19:40:00,313018531.0,57213527.09618,1786304400000
2026-08-09 19:45:00,311496649.0,59277475.88831908,1786304700000
2026-08-09 19:50:00,311601602.0,59123287.96348,1786305000000
2026-08-09 19:55:00,311972336.0,58154825.5482272,1786305300000
2026-08-09 20:00:00,311899417.0,60592578.099817365,1786305600000
2026-08-09 20:05:00,312128560.0,58966334.9863792,1786305900000
2026-08-09 20:10:00,311951358.0,59029201.60544628,1786306200000
2026-08-09 20:15:00,309395084.0,55433534.43071748,1786306500000
2026-08-09 20:20:00,308668048.0,55007047.59101344,1786306800000
2026-08-09 20:25:00,308699156.0,55550413.1222,1786307100000
2026-08-09 20:30:00,308074960.0,54051751.732,1786307400000
2026-08-09 20:35:00,308051989.0,54931830.67848,1786307700000
2026-08-09 20:40:00,307896754.0,54343777.081,1786308000000
2026-08-09 20:45:00,307722046.0,54296711.85829396,1786308300000
2026-08-09 20:50:00,308040725.0,55311792.581,1786308600000
2026-08-09 20:55:00,307792522.0,55738301.705241,1786308900000
2026-08-09 21:00:00,307733471.0,55546150.01161564,1786309200000
2026-08-09 21:05:00,307581432.0,56287402.056,1786309500000
2026-08-09 21:10:00,307156079.0,54323624.13194,1786309800000
2026-08-09 21:15:00,306906441.0,54636362.379241265,1786310100000
2026-08-09 21:20:00,307155986.0,55138882.60292023,1786310400000
2026-08-09 21:25:00,307751804.0,55979249.91539156,1786310700000
2026-08-09 21:30:00,306446469.0,58433212.70892,1786311000000
2026-08-09 21:35:00,306238103.0,57563576.22091,1786311300000
2026-08-09 21:40:00,306317131.0,58396475.51777598,1786311600000
2026-08-09 21:45:00,305892095.0,57150942.732838646,1786311900000
2026-08-09 21:50:00,305988286.0,57573149.455258496,1786312200000
2026-08-09 21:55:00,306519875.0,58459470.56,1786312500000
2026-08-09 22:00:00,305381748.0,57593379.1495356,1786312800000
2026-08-09 22:05:00,304907053.0,57242975.713872306,1786313100000
2026-08-09 22:10:00,305159335.0,56137111.2666,1786313400000
2026-08-09 22:15:00,305008770.0,56412674.3989479,1786313700000
2026-08-09 22:20:00,305480471.0,56349547.806016125,1786314000000
2026-08-09 22:25:00,303466190.0,54536233.713723294,1786314300000
2026-08-09 22:30:00,304077024.0,55531713.77865216,1786314600000
2026-08-09 22:35:00,304268288.0,55532221.27336448,1786314900000
2026-08-09 22:40:00,304279149.0,55457917.69674,1786315200000
2026-08-09 22:45:00,304612371.0,56124692.28118305,1786315500000
2026-08-09 22:50:00,303682237.0,56734720.274268046,1786315800000
2026-08-09 22:55:00,303766058.0,57353741.34363736,1786316100000
2026-08-09 23:00:00,304536268.0,57432494.78212,1786316400000
2026-08-09 23:05:00,304850193.0,57763014.56964,1786316700000
2026-08-09 23:10:00,305434264.0,58078325.2996,1786317000000
2026-08-09 23:15:00,306065610.0,58603193.4205665,1786317300000
2026-08-09 23:20:00,305548741.0,58100093.10115,1786317600000
2026-08-09 23:25:00,305698644.0,58067411.5730034,1786317900000
2026-08-09 23:30:00,305841143.0,58819368.62176,1786318200000
2026-08-09 23:35:00,306327747.0,59988162.69501,1786318500000
2026-08-09 23:40:00,307515760.0,60743243.6551488,1786318800000
2026-08-09 23:45:00,306400855.0,60054567.58,1786319100000
2026-08-09 23:50:00,306910773.0,61293150.47583,1786319400000
2026-08-09 23:55:00,307106026.0,62019942.179349855,1786319700000
