ts,n_slots,p50_lamports,p99_lamports,mean_lamports,std_lamports,slot_p99_lamports,max_lamports
2026-08-12T18:00:55+00:00,150,0,0,0,0.0,0,0
2026-08-12T19:00:05+00:00,150,0,0,0,0.0,0,0
2026-08-12T20:00:15+00:00,150,0,0,0,0.0,0,0
2026-08-12T22:00:38+00:00,150,0,0,0,0.0,0,0
2026-08-12T23:00:49+00:00,150,0,0,0,0.0,0,0
2026-08-13T00:01:00+00:00,150,0,0,0,0.0,0,0
2026-08-13T01:00:11+00:00,150,0,0,0,0.0,0,0
2026-08-13T02:00:22+00:00,150,0,0,0,0.0,0,0
2026-08-13T03:00:33+00:00,150,0,0,0,0.0,0,0
2026-08-13T04:01:18+00:00,150,0,0,0,0.0,0,0
2026-08-13T05:00:58+00:00,150,0,0,0,0.0,0,0
2026-08-13T06:00:08+00:00,150,0,0,0,0.0,0,0
2026-08-13T07:00:20+00:00,150,0,0,0,0.0,0,0
2026-08-13T08:00:31+00:00,150,0,0,0,0.0,0,0
2026-08-13T09:00:38+00:00,150,0,0,0,0.0,0,0
2026-08-13T12:16:43+00:00,150,0,0,0,0.0,0,0
2026-08-13T13:00:50+00:00,150,0,0,0,0.0,0,0
2026-08-13T14:00:01+00:00,150,0,0,0,0.0,0,0
2026-08-13T15:00:11+00:00,150,0,0,0,0.0,0,0
2026-08-13T16:00:22+00:00,150,0,0,0,0.0,0,0
2026-08-13T17:00:34+00:00,150,0,0,0,0.0,0,0
2026-08-13T18:00:45+00:00,150,0,0,0,0.0,0,0
2026-08-13T19:00:56+00:00,150,0,0,0,0.0,0,0
2026-08-13T22:00:30+00:00,150,0,0,0,0.0,0,0
2026-08-13T23:00:41+00:00,150,0,0,0,0.0,0,0
2026-08-14T00:00:53+00:00,150,0,0,0,0.0,0,0
2026-08-14T01:00:06+00:00,150,0,0,0,0.0,0,0
2026-08-14T02:00:19+00:00,150,0,0,0,0.0,0,0
2026-08-14T03:00:28+00:00,150,0,0,0,0.0,0,0
2026-08-14T04:00:04+00:00,150,0,0,0,0.0,0,0
2026-08-14T05:00:14+00:00,150,0,0,0,0.0,0,0
2026-08-14T06:00:27+00:00,150,0,0,0,0.0,0,0
2026-08-14T07:00:37+00:00,150,0,0,0,0.0,0,0
2026-08-14T08:00:48+00:00,150,0,0,0,0.0,0,0
2026-08-14T09:01:00+00:00,150,0,0,0,0.0,0,0
2026-08-14T10:00:07+00:00,150,0,0,0,0.0,0,0
2026-08-14T11:00:15+00:00,150,0,0,0,0.0,0,0
2026-08-14T12:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-14T13:00:32+00:00,150,0,0,0,0.0,0,0
2026-08-14T14:00:39+00:00,150,0,0,0,0.0,0,0
2026-08-14T15:00:50+00:00,150,0,0,0,0.0,0,0
2026-08-14T16:00:02+00:00,150,0,0,0,0.0,0,0
2026-08-14T17:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-14T18:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-14T19:00:36+00:00,150,0,0,0,0.0,0,0
2026-08-14T20:00:46+00:00,150,0,0,0,0.0,0,0
2026-08-14T22:00:09+00:00,150,0,0,0,0.0,0,0
2026-08-14T23:00:20+00:00,150,0,0,0,0.0,0,0
2026-08-15T00:00:31+00:00,150,0,0,0,0.0,0,0
2026-08-15T01:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-15T02:00:53+00:00,150,0,0,0,0.0,0,0
2026-08-15T03:01:00+00:00,150,0,0,0,0.0,0,0
2026-08-15T04:00:09+00:00,150,0,0,0,0.0,0,0
2026-08-15T05:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-15T06:00:32+00:00,150,0,0,0,0.0,0,0
2026-08-15T07:00:43+00:00,150,0,0,0,0.0,0,0
2026-08-15T08:00:51+00:00,150,0,0,0,0.0,0,0
2026-08-15T09:00:02+00:00,150,0,0,0,0.0,0,0
2026-08-15T10:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-15T11:00:27+00:00,150,0,0,0,0.0,0,0
2026-08-15T12:00:34+00:00,150,0,0,0,0.0,0,0
2026-08-15T13:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-15T14:00:58+00:00,150,0,0,0,0.0,0,0
2026-08-15T15:00:07+00:00,150,0,0,0,0.0,0,0
2026-08-15T16:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-15T17:00:26+00:00,150,0,0,0,0.0,0,0
2026-08-15T18:00:35+00:00,150,0,0,0,0.0,0,0
2026-08-15T19:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-15T20:00:57+00:00,150,0,0,0,0.0,0,0
2026-08-15T22:00:20+00:00,150,0,0,0,0.0,0,0
2026-08-15T23:00:31+00:00,150,0,0,0,0.0,0,0
2026-08-16T00:00:43+00:00,150,0,0,0,0.0,0,0
2026-08-16T01:00:55+00:00,150,0,0,0,0.0,0,0
2026-08-16T02:00:03+00:00,150,0,0,0,0.0,0,0
2026-08-16T03:00:09+00:00,150,0,0,0,0.0,0,0
2026-08-16T04:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-16T05:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-16T06:00:36+00:00,150,0,0,0,0.0,0,0
2026-08-16T07:00:48+00:00,150,0,0,0,0.0,0,0
2026-08-16T08:00:58+00:00,150,0,0,0,0.0,0,0
2026-08-16T09:00:08+00:00,150,0,0,0,0.0,0,0
2026-08-16T10:00:17+00:00,150,0,0,0,0.0,0,0
2026-08-16T11:00:25+00:00,150,0,0,0,0.0,0,0
2026-08-16T12:00:34+00:00,150,0,0,0,0.0,0,0
2026-08-16T13:00:46+00:00,150,0,0,0,0.0,0,0
2026-08-16T14:00:53+00:00,150,0,1564,6677.1,81648.9,1564,1000000
2026-08-16T15:01:01+00:00,150,0,0,27777.8,340206.9,0,4166666
2026-08-16T16:00:13+00:00,150,0,0,44.4,544.3,0,6666
2026-08-16T17:00:21+00:00,150,0,0,0,0.0,0,0
2026-08-16T18:00:33+00:00,150,0,0,0,0.0,0,0
2026-08-16T19:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-16T20:00:56+00:00,150,0,0,0,0.0,0,0
2026-08-16T22:00:19+00:00,150,0,0,0,0.0,0,0
2026-08-16T23:00:30+00:00,150,0,0,0,0.0,0,0
2026-08-17T00:00:42+00:00,150,0,0,0,0.0,0,0
2026-08-17T01:00:54+00:00,150,0,0,0,0.0,0,0
2026-08-17T02:00:04+00:00,150,0,0,0,0.0,0,0
2026-08-17T03:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-17T04:00:12+00:00,150,0,0,0,0.0,0,0
2026-08-17T05:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-17T06:00:36+00:00,150,0,0,0,0.0,0,0
2026-08-17T07:00:48+00:00,150,0,0,0,0.0,0,0
2026-08-17T08:01:03+00:00,150,0,0,0,0.0,0,0
2026-08-17T09:00:10+00:00,150,0,0,0,0.0,0,0
2026-08-17T10:00:19+00:00,150,0,0,0,0.0,0,0
2026-08-17T12:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-17T13:00:57+00:00,150,0,0,0,0.0,0,0
2026-08-17T14:00:12+00:00,150,0,0,0,0.0,0,0
2026-08-17T15:00:21+00:00,150,0,0,0,0.0,0,0
2026-08-17T16:00:32+00:00,150,0,0,0,0.0,0,0
2026-08-17T17:00:43+00:00,150,0,0,0,0.0,0,0
2026-08-17T18:00:55+00:00,150,0,0,0,0.0,0,0
2026-08-17T19:00:06+00:00,150,0,0,0,0.0,0,0
2026-08-17T20:00:18+00:00,150,0,0,0,0.0,0,0
2026-08-17T22:00:40+00:00,150,0,0,0,0.0,0,0
2026-08-17T23:00:52+00:00,150,0,0,0,0.0,0,0
2026-08-18T00:00:04+00:00,150,0,0,0,0.0,0,0
2026-08-18T01:00:16+00:00,150,0,0,0,0.0,0,0
2026-08-18T02:00:33+00:00,150,0,0,0,0.0,0,0
2026-08-18T03:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-18T04:00:41+00:00,150,0,0,0,0.0,0,0
2026-08-18T05:00:53+00:00,150,0,0,0,0.0,0,0
2026-08-18T06:00:03+00:00,150,0,0,0,0.0,0,0
2026-08-18T07:00:16+00:00,150,0,0,0,0.0,0,0
2026-08-18T08:00:26+00:00,150,0,0,0,0.0,0,0
2026-08-18T09:00:34+00:00,150,0,0,0,0.0,0,0
2026-08-18T10:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-18T13:00:19+00:00,150,0,0,0,0.0,0,0
2026-08-18T14:00:30+00:00,150,0,0,0,0.0,0,0
2026-08-18T15:00:43+00:00,150,0,0,0,0.0,0,0
2026-08-18T16:00:53+00:00,150,0,0,0,0.0,0,0
2026-08-18T17:00:05+00:00,150,0,0,0,0.0,0,0
2026-08-18T18:00:16+00:00,150,0,0,0,0.0,0,0
2026-08-18T19:00:28+00:00,150,0,0,0,0.0,0,0
2026-08-18T20:00:39+00:00,150,0,0,0,0.0,0,0
2026-08-18T22:00:02+00:00,150,0,0,0,0.0,0,0
2026-08-18T23:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-19T00:00:27+00:00,150,0,0,0,0.0,0,0
2026-08-19T01:00:36+00:00,150,0,0,0,0.0,0,0
2026-08-19T02:00:46+00:00,150,0,0,0,0.0,0,0
2026-08-19T03:00:56+00:00,150,0,0,0,0.0,0,0
2026-08-19T04:00:42+00:00,150,0,0,0,0.0,0,0
2026-08-19T05:00:53+00:00,150,0,0,0,0.0,0,0
2026-08-19T06:00:05+00:00,150,0,0,0,0.0,0,0
2026-08-19T07:00:18+00:00,150,0,0,0,0.0,0,0
2026-08-19T08:00:27+00:00,150,0,0,0,0.0,0,0
2026-08-19T09:00:39+00:00,150,0,0,0,0.0,0,0
2026-08-19T10:00:49+00:00,150,0,0,0,0.0,0,0
2026-08-19T11:01:01+00:00,150,0,0,0,0.0,0,0
2026-08-19T12:00:11+00:00,150,0,0,0,0.0,0,0
2026-08-19T13:00:22+00:00,150,0,0,0,0.0,0,0
2026-08-19T14:00:29+00:00,150,0,0,0,0.0,0,0
2026-08-19T15:00:42+00:00,150,0,0,0,0.0,0,0
2026-08-19T16:00:50+00:00,150,0,0,0,0.0,0,0
2026-08-19T17:00:02+00:00,150,0,50,1.1,10.0,50,112
2026-08-19T18:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-19T19:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-19T20:00:36+00:00,150,0,0,0,0.0,0,0
2026-08-19T22:00:59+00:00,150,0,0,0,0.0,0,0
2026-08-19T23:00:11+00:00,150,0,0,83.3,1020.7,0,12501
2026-08-20T00:00:23+00:00,150,0,0,0,0.0,0,0
2026-08-20T01:00:35+00:00,150,0,0,0,0.0,0,0
2026-08-20T02:00:43+00:00,150,0,0,0,0.0,0,0
2026-08-20T03:00:51+00:00,150,0,0,0,0.0,0,0
2026-08-20T04:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-20T05:00:35+00:00,150,0,0,0,0.0,0,0
2026-08-20T06:00:46+00:00,150,0,0,0,0.0,0,0
2026-08-20T07:00:57+00:00,150,0,0,0,0.0,0,0
2026-08-20T08:00:09+00:00,150,0,0,0,0.0,0,0
2026-08-20T09:00:16+00:00,150,0,0,0,0.0,0,0
2026-08-20T10:00:38+00:00,150,0,0,0,0.0,0,0
2026-08-20T11:00:59+00:00,150,0,0,0,0.0,0,0
2026-08-20T12:00:09+00:00,150,0,0,0,0.0,0,0
2026-08-20T13:00:19+00:00,150,0,0,0,0.0,0,0
2026-08-20T14:00:28+00:00,150,0,0,0,0.0,0,0
2026-08-20T15:00:36+00:00,150,0,0,0,0.0,0,0
2026-08-20T16:00:45+00:00,150,0,0,0,0.0,0,0
2026-08-20T17:00:57+00:00,150,0,0,0,0.0,0,0
2026-08-20T18:00:07+00:00,150,0,0,21.9,267.6,0,3278
2026-08-20T19:00:18+00:00,150,0,0,0,0.0,0,0
2026-08-20T20:00:30+00:00,150,0,0,0,0.0,0,0
2026-08-20T22:00:52+00:00,150,0,0,0,0.0,0,0
2026-08-20T23:00:04+00:00,150,0,0,0,0.0,0,0
2026-08-21T00:00:15+00:00,150,0,0,0,0.0,0,0
2026-08-21T01:00:27+00:00,150,0,796,11.6,100.2,796,940
2026-08-21T02:00:37+00:00,150,0,0,0,0.0,0,0
2026-08-21T03:00:46+00:00,150,0,0,0,0.0,0,0
2026-08-21T04:00:22+00:00,150,0,0,0,0.0,0,0
2026-08-21T05:00:33+00:00,150,0,0,0,0.0,0,0
2026-08-21T06:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-21T07:00:55+00:00,150,0,0,0,0.0,0,0
2026-08-21T08:00:05+00:00,150,0,0,0,0.0,0,0
2026-08-21T09:00:13+00:00,150,0,0,3333.3,40824.8,0,500000
2026-08-21T10:00:21+00:00,150,0,0,0,0.0,0,0
