ts,n_bundles,n_with_tip,n_txs,p50_tip,p99_tip,max_tip,mean_tip,std_tip
2026-08-23T22:00:39+00:00,100,100,137,1637,7500000,7500000,112381.0,761937.9
2026-08-23T23:00:50+00:00,100,100,106,1000,3570495,3570495,67228.7,375029.2
2026-08-24T00:00:03+00:00,100,100,130,13144,10000000,10000000,229691.4,1131733.0
2026-08-24T01:00:16+00:00,100,100,126,3126,1500000,1500000,49201.0,220370.6
2026-08-24T02:00:29+00:00,100,100,152,9593,3000000,3000000,102172.6,370403.8
2026-08-24T03:00:41+00:00,100,100,133,1322,1000000,1000000,34730.8,149529.0
2026-08-24T04:00:04+00:00,100,100,140,3622,1000000,1000000,40784.9,130812.1
2026-08-24T05:00:13+00:00,100,100,104,1024,357049,357049,11818.3,38262.5
2026-08-24T06:15:53+00:00,100,100,128,2576,15000000,15000000,161087.8,1499194.1
2026-08-24T07:04:32+00:00,100,100,139,5000,7500000,7500000,144925.0,836762.6
2026-08-24T11:40:23+00:00,100,100,120,1024,10000000,10000000,110364.4,999391.7
2026-08-24T12:13:30+00:00,100,100,140,1392,1000000,1000000,18032.8,100577.2
2026-08-24T13:00:55+00:00,100,100,143,5000,2970000,2970000,71359.5,367693.5
2026-08-24T14:21:51+00:00,100,100,143,5902,5000000,5000000,203124.8,823348.1
2026-08-24T15:26:24+00:00,100,100,116,4811,1000000,1000000,41122.5,135709.5
2026-08-24T16:01:28+00:00,100,100,128,37591,1000000,1000000,67315.7,167883.1
2026-08-24T17:02:55+00:00,100,100,115,5000,1000000,1000000,47130.6,171911.3
2026-08-24T18:07:40+00:00,100,100,118,2889,10000000,10000000,203768.1,1058852.5
2026-08-24T19:12:47+00:00,100,100,130,5484,12000000,12000000,167696.0,1203502.0
2026-08-24T20:01:03+00:00,100,100,119,18089,4000000,4000000,134146.7,469300.8
2026-08-24T21:16:35+00:00,100,100,137,17927,5000001,5000001,138424.7,634912.2
2026-08-24T22:18:25+00:00,100,100,130,3614,22000000,22000000,434288.0,2274174.9
2026-08-24T23:17:24+00:00,100,100,131,5000,215055,215055,19782.7,42767.2
2026-08-25T00:07:28+00:00,100,100,124,4610,1000000,1000000,31332.3,110375.7
2026-08-25T01:03:20+00:00,100,100,131,8475,273510000,273510000,4358672.8,30857409.6
2026-08-25T02:06:18+00:00,100,100,110,2567,1013000,1013000,34905.1,151070.0
2026-08-25T03:00:46+00:00,100,100,145,5000,391142,391142,23574.6,61009.0
2026-08-25T04:04:09+00:00,100,100,111,4365,1000000,1000000,67712.8,169674.6
2026-08-25T05:07:03+00:00,100,100,126,2977,1000000,1000000,41850.6,131670.3
2026-08-25T06:15:33+00:00,100,100,140,4908,1000000,1000000,63768.8,166184.1
2026-08-25T07:00:49+00:00,100,100,119,1000,1500000,1500000,166843.9,403944.7
2026-08-25T08:01:02+00:00,100,100,126,3909,1000000,1000000,22676.9,102640.8
2026-08-25T09:00:15+00:00,100,100,125,4644,1000000,1000000,28365.3,111469.5
2026-08-25T10:00:28+00:00,100,100,129,5000,4221028,4221028,128575.3,466046.1
2026-08-25T11:00:42+00:00,100,100,112,3266,1000000,1000000,105997.3,268548.0
2026-08-25T12:01:00+00:00,100,100,154,5047,1040000,1040000,79399.9,204513.2
2026-08-25T13:00:14+00:00,100,100,122,5000,10000000,10000000,147669.0,1015133.7
2026-08-25T14:00:30+00:00,100,100,119,5000,1014100,1014100,57866.9,201520.1
2026-08-25T15:00:42+00:00,100,100,116,2822,20000000,20000000,365243.9,2232523.3
2026-08-25T17:08:59+00:00,100,100,129,21583,1013000,1013000,57096.1,136667.0
2026-08-25T18:13:45+00:00,100,100,132,4537,5070019,5070019,206486.9,787236.7
2026-08-25T19:02:03+00:00,100,100,129,5070,1000000,1000000,138100.7,323439.1
2026-08-25T20:19:34+00:00,100,100,113,10000,1578375,1578375,60197.4,202657.1
2026-08-25T21:10:04+00:00,100,100,129,5000,1001092,1001092,32273.7,110039.4
2026-08-25T23:07:38+00:00,100,100,111,18181,2562768,2562768,95775.1,288357.8
2026-08-26T01:17:08+00:00,100,100,112,7336,7500000,7500000,173139.2,787287.2
2026-08-26T03:00:11+00:00,100,100,129,7506,1000000,1000000,101110.1,254012.9
2026-08-26T04:00:32+00:00,100,100,119,4463,3632309,3632309,98114.1,424750.7
2026-08-26T05:00:47+00:00,100,100,120,5074,7500000,7500000,95507.1,749469.4
2026-08-26T06:00:59+00:00,100,100,127,4998,600000,600000,40181.2,87913.0
2026-08-26T07:00:18+00:00,100,100,124,7932,4221028,4221028,147893.6,505804.7
2026-08-26T08:00:27+00:00,100,100,148,4950,400000,400000,29628.3,86287.0
2026-08-26T09:00:40+00:00,100,100,132,2354,1000000,1000000,90561.9,251495.6
2026-08-26T10:00:52+00:00,100,100,126,8190,10000000,10000000,161458.9,1034837.4
2026-08-26T11:00:08+00:00,100,100,112,6326,3405000,3405000,88466.0,375472.5
2026-08-26T12:00:17+00:00,100,100,141,5000,750000,750000,25303.9,78731.4
