ts,pair,us_sym,chain_mid,us_price,dev_bps,us_ts,vol24h
2026-08-08T13:01:09+00:00,TSLAX/USDT,TSLA,329.69,328.5799865722656,33.8,08-07 00:00,193331
2026-08-08T13:31:12+00:00,MSTRX/USDT,MSTR,101.56,100.01000213623047,154.5,08-07 00:00,273751
2026-08-08T13:31:12+00:00,MCDX/USDT,MCD,276.97,274.4800109863281,90.5,08-07 00:00,39049
2026-08-08T13:31:12+00:00,SPYX/USDT,SPY,777.35,773.260009765625,52.8,08-07 00:00,410251
2026-08-08T13:31:12+00:00,GOOGLX/USDT,GOOGL,355.88,354.29998779296875,44.5,08-07 00:00,210897
2026-08-08T13:31:12+00:00,TSLAX/USDT,TSLA,329.94,328.5799865722656,41.4,08-07 00:00,185659
2026-08-08T13:31:12+00:00,COINX/USDT,COIN,154.12,153.60000610351562,34.2,08-07 00:00,158955
2026-08-08T14:31:29+00:00,MSTRX/USDT,MSTR,101.97,100.01000213623047,196.0,08-07 00:00,207329
2026-08-08T14:31:29+00:00,MCDX/USDT,MCD,276.77,274.4800109863281,83.6,08-07 00:00,35098
2026-08-08T14:31:29+00:00,COINX/USDT,COIN,154.5,153.60000610351562,58.6,08-07 00:00,84836
2026-08-08T14:31:29+00:00,SPYX/USDT,SPY,777.39,773.260009765625,53.5,08-07 00:00,359968
2026-08-08T14:31:29+00:00,GOOGLX/USDT,GOOGL,355.79,354.29998779296875,42.2,08-07 00:00,159302
2026-08-08T15:00:28+00:00,MSTRX/USDT,MSTR,101.84,100.01000213623047,182.5,08-07 00:00,185401
2026-08-08T15:00:28+00:00,MCDX/USDT,MCD,276.88,274.4800109863281,87.6,08-07 00:00,34039
2026-08-08T15:00:28+00:00,COINX/USDT,COIN,154.54,153.60000610351562,60.9,08-07 00:00,74039
2026-08-08T15:00:28+00:00,SPYX/USDT,SPY,777.65,773.260009765625,56.8,08-07 00:00,342528
2026-08-08T15:00:28+00:00,GOOGLX/USDT,GOOGL,356.25,354.29998779296875,55.2,08-07 00:00,126489
2026-08-08T15:00:28+00:00,TSLAX/USDT,TSLA,330.23,328.5799865722656,50.2,08-07 00:00,129708
2026-08-08T15:30:35+00:00,MSTRX/USDT,MSTR,101.66,100.01000213623047,165.5,08-07 00:00,183596
2026-08-08T15:30:35+00:00,MCDX/USDT,MCD,276.89,274.4800109863281,87.8,08-07 00:00,32086
2026-08-08T15:30:35+00:00,TSLAX/USDT,TSLA,330.65,328.5799865722656,63.2,08-07 00:00,119996
